Incidence per 1000 by age and sex			
	Ghana		
 	Total	Male	Female
 35-39 	0.477287	0.793451	0.147600
 40-44 	0.375625	0.623518	0.118774
 45-49 	0.278885	0.459286	0.094968
 50-54 	0.203124	0.334000	0.072714
 55-59 	0.155338	0.262308	0.051828
 60-64 	0.134612	0.240000	0.036316
 65-69 	0.132419	0.244964	0.031354
 70-74 	0.130440	0.237738	0.037604
 75-79 	0.077947	0.160862	0.009500
 80+ 	0.000000	0.000000	0.000000
Total	0.205639	0.324092	0.083242
1979			
 0-4	0.071392	0.071858	0.070909
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.190490	0.266978	0.110006
 20-24 	0.575703	0.880863	0.254127
 25-29 	0.704994	1.126283	0.261374
 30-34 	0.682155	1.116549	0.222382
 35-39 	0.580776	0.965642	0.179356
 40-44 	0.456888	0.758620	0.144300
 45-49 	0.339285	0.558773	0.115374
 50-54 	0.247116	0.406343	0.088340
 55-59 	0.188963	0.319096	0.062956
 60-64 	0.163806	0.291975	0.044119
 65-69 	0.161057	0.298014	0.038091
 70-74 	0.158635	0.289196	0.045675
 75-79 	0.094805	0.195708	0.011539
 80+ 	0.000000	0.000000	0.000000
Total	0.250680	0.394873	0.101766
1980			
 0-4	0.089480	0.090045	0.088895
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.230698	0.323517	0.133109
 20-24 	0.697792	1.068408	0.307626
 25-29 	0.853524	1.364626	0.316475
 30-34 	0.826030	1.352812	0.268811
 35-39 	0.704349	1.171044	0.217118
 40-44 	0.553569	0.919535	0.174614
 45-49 	0.411173	0.677256	0.139609
 50-54 	0.299487	0.492511	0.106899
 55-59 	0.228991	0.386719	0.076166
 60-64 	0.198570	0.353875	0.053390
 65-69 	0.195175	0.361196	0.046094
 70-74 	0.192177	0.350472	0.055257
 75-79 	0.114870	0.237181	0.013953
 80+ 	0.000000	0.000000	0.000000
Total	0.304430	0.479418	0.123820
1981			
 0-4	0.110683	0.111360	0.109980
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.277999	0.390098	0.160231
 20-24 	0.841095	1.288858	0.370328
 25-29 	1.028099	1.644889	0.381115
 30-34 	0.994540	1.630476	0.323212
 35-39 	0.849802	1.412627	0.261399
 40-44 	0.667077	1.108684	0.210149
 45-49 	0.495620	0.816549	0.168023
 50-54 	0.361031	0.593812	0.128657
 55-59 	0.276029	0.466206	0.091651
 60-64 	0.239422	0.426634	0.064258
 65-69 	0.235300	0.435465	0.055478
 70-74 	0.231565	0.422499	0.066486
 75-79 	0.138438	0.285890	0.016772
 80+ 	0.000000	0.000000	0.000000
Total	0.367851	0.579234	0.149821
1982			
 0-4	0.135665	0.136474	0.134826
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.334455	0.469642	0.192544
 20-24 	1.011474	1.551256	0.444840
 25-29 	1.236252	1.979302	0.457942
 30-34 	1.194898	1.961809	0.388032
 35-39 	1.023220	1.700437	0.314038
 40-44 	0.802122	1.334070	0.252399
 45-49 	0.596206	0.982616	0.201821
 50-54 	0.434358	0.714556	0.154535
 55-59 	0.332086	0.560948	0.110072
 60-64 	0.288083	0.513350	0.077181
 65-69 	0.283157	0.523980	0.066638
 70-74 	0.278475	0.508353	0.079847
 75-79 	0.166494	0.343886	0.020119
 80+ 	0.000000	0.000000	0.000000
Total	0.443713	0.698719	0.180882
1983			
 0-4	0.262643	0.264152	0.261077
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.482870	0.326757	0.646733
 20-24 	1.280258	1.077260	1.493417
 25-29 	1.454163	1.374496	1.537678
 30-34 	1.333378	1.362465	1.302839
 35-39 	1.118791	1.180683	1.053786
 40-44 	0.887512	0.926669	0.847037
 45-49 	0.679954	0.682614	0.677238
 50-54 	0.507459	0.496425	0.518492
 55-59 	0.379340	0.389718	0.369260
 60-64 	0.306195	0.356657	0.258896
 65-69 	0.290111	0.364043	0.223545
 70-74 	0.307393	0.353180	0.267837
 75-79 	0.144893	0.238826	0.067369
 80+ 	0.000000	0.000000	0.000000
Total	0.545444	0.516293	0.575490
1984			
 0-4	0.378665	0.380728	0.376522
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.577813	0.380768	0.784545
 20-24 	1.521741	1.250288	1.807032
 25-29 	1.724934	1.595692	1.860596
 30-34 	1.579991	1.582146	1.577731
 35-39 	1.322980	1.369459	1.274046
 40-44 	1.050991	1.076035	1.025064
 45-49 	0.805719	0.792338	0.819396
 50-54 	0.601713	0.576180	0.627289
 55-59 	0.449497	0.452331	0.446739
 60-64 	0.361977	0.413952	0.313170
 65-69 	0.342561	0.422528	0.270440
 70-74 	0.363822	0.409907	0.324002
 75-79 	0.169829	0.277039	0.081334
 80+ 	0.000000	0.000000	0.000000
Total	0.660882	0.613946	0.709278
1985			
 0-4	0.512911	0.515390	0.510332
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.692335	0.447197	0.949230
 20-24 	1.805089	1.455257	2.173382
 25-29 	2.042844	1.857613	2.237628
 30-34 	1.870414	1.842573	1.899628
 35-39 	1.562152	1.592214	1.530452
 40-44 	1.243364	1.253193	1.233155
 45-49 	0.953401	0.922190	0.985351
 50-54 	0.712342	0.670558	0.754293
 55-59 	0.531877	0.526437	0.537185
