Need for ART by age			
	Ghana		
 	Total	Male	Female
 30-34 	14.139201	11.621446	2.517755
 35-39 	14.092427	11.861453	2.230974
 40-44 	11.862535	10.053707	1.808829
 45-49 	12.259966	10.293123	1.966842
 50-54 	9.057163	7.478671	1.578492
 55-59 	5.285963	4.320836	0.965126
 60-64 	3.148358	2.618381	0.529977
 65-69 	1.996403	1.721012	0.275392
 70-74 	1.251599	1.080636	0.170963
 75-79 	0.583135	0.495758	0.087377
 80+ 	0.102036	0.096696	0.005340
Total	167.720864	113.673808	54.047056
1978			
 0-4	111.049100	56.835635	54.213464
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.337735	0.226404	0.111331
 20-24 	5.119576	3.735155	1.384422
 25-29 	20.972926	16.572696	4.400230
 30-34 	26.967643	22.128269	4.839374
 35-39 	26.082146	21.926337	4.155810
 40-44 	21.935089	18.588153	3.346937
 45-49 	21.998869	18.485725	3.513144
 50-54 	16.093335	13.300775	2.792560
 55-59 	9.402520	7.684966	1.717554
 60-64 	5.565322	4.620236	0.945086
 65-69 	3.509736	3.019186	0.490551
 70-74 	2.198843	1.901222	0.297621
 75-79 	1.042164	0.883663	0.158501
 80+ 	0.193767	0.182231	0.011536
Total	272.468773	190.090653	82.378120
1979			
 0-4	149.134652	76.320888	72.813763
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.410587	0.275281	0.135306
 20-24 	8.374486	6.072988	2.301498
 25-29 	33.880662	26.651315	7.229347
 30-34 	46.097357	37.745641	8.351716
 35-39 	43.634337	36.631898	7.002439
 40-44 	36.573231	30.985764	5.587467
 45-49 	35.579967	29.926249	5.653719
 50-54 	25.657615	21.228964	4.428652
 55-59 	14.981547	12.245412	2.736134
 60-64 	8.815687	7.304643	1.511043
 65-69 	5.520244	4.737152	0.783092
 70-74 	3.450247	2.986865	0.463382
 75-79 	1.663962	1.408600	0.255362
 80+ 	0.331036	0.307971	0.023065
Total	414.105617	294.829631	119.275986
1980			
 0-4	196.481059	100.541587	95.939472
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.528708	0.354416	0.174292
 20-24 	12.406432	8.949596	3.456835
 25-29 	51.064831	39.984488	11.080343
 30-34 	71.918657	58.746801	13.171856
 35-39 	68.087188	57.082982	11.004206
 40-44 	56.442581	47.802550	8.640031
 45-49 	53.735848	45.234958	8.500890
 50-54 	37.976235	31.456030	6.520205
 55-59 	22.155232	18.113861	4.041371
 60-64 	12.987712	10.744400	2.243313
 65-69 	8.074288	6.913152	1.161137
 70-74 	5.031776	4.357978	0.673798
 75-79 	2.462224	2.083159	0.379065
 80+ 	0.518071	0.478021	0.040050
Total	599.870841	432.843977	167.026865
1981			
 0-4	254.891678	130.420958	124.470720
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.677327	0.454040	0.223287
 20-24 	17.204374	12.360967	4.843407
 25-29 	73.236710	57.094915	16.141795
 30-34 	104.682324	85.289731	19.392593
 35-39 	101.040122	84.604210	16.435912
 40-44 	82.395494	69.751331	12.644163
 45-49 	77.262248	65.084479	12.177769
 50-54 	53.569444	44.418951	9.150492
 55-59 	31.158480	25.486195	5.672285
 60-64 	18.235672	15.068168	3.167503
 65-69 	11.262048	9.623803	1.638245
 70-74 	6.999276	6.061722	0.937554
 75-79 	3.463040	2.931106	0.531934
 80+ 	0.763715	0.699441	0.064274
Total	836.841951	609.350018	227.491933
1982			
 0-4	326.695602	167.154632	159.540970
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.863849	0.579146	0.284703
 20-24 	22.925941	16.428450	6.497491
 25-29 	101.446928	78.797025	22.649903
 30-34 	144.321651	117.270479	27.051172
 35-39 	144.586065	120.936161	23.649903
 40-44 	115.503146	97.726593	17.776553
 45-49 	107.156517	90.316118	16.840398
 50-54 	73.147506	60.712381	12.435126
 55-59 	42.333694	34.646341	7.687353
 60-64 	24.780717	20.459963	4.320754
 65-69 	15.212031	12.979291	2.232740
 70-74 	9.435130	8.168631	1.266499
 75-79 	4.707411	3.987621	0.719790
 80+ 	1.078382	0.981645	0.096737
Total	1134.194569	831.144476	303.050093
1983			
 0-4	513.109759	262.671373	250.438386
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.095410	0.734617	0.360794
 20-24 	29.653506	21.226617	8.426889
 25-29 	136.826650	105.972223	30.854426
 30-34 	191.354851	155.085857	36.268994
 35-39 	200.149125	167.256573	32.892552
 40-44 	157.153592	132.904322	24.249270
 45-49 	144.454884	121.806817	22.648068
 50-54 	97.434991	80.947263	16.487729
 55-59 	56.054486	45.906208	10.148278
 60-64 	32.851212	27.111879	5.739333
 65-69 	20.063537	17.099299	2.964238
 70-74 	12.426952	10.754514	1.672438
 75-79 	6.239321	5.289660	0.949661
 80+ 	1.473410	1.335302	0.138108
Total	1600.341687	1156.102524	444.239163
1984			
 0-4	781.602222	400.183840	381.418382
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
